Aachen Germany, N5046-N5046 E00606-E00606
Aar Valley, N4000-N4737 E00820-E00710
Aargau Switzerland, N4708-N4737 E00828-E00743
Abakan Russian Federation, N5343-N5343 E09125-E09125
Abashiri Japan, N4330-N4440 E14537-E14235
Abbeville County South Carolina, N3400-N3430 W08215-W08245
Aberdeen Proving Ground, N3915-N3930 W07602-W07620
Aberdeen Scotland, N5710-N5710 W00204-W00204
Aberdeenshire Scotland, N5650-N5743 W00145-W00348
Aberfeldy Field, N5318-N5318 W11000-W11000
Aberystwyth Wales, N5225-N5225 W00405-W00405
Abilene Kansas, N3855-N3855 W09714-W09714
Abilene Texas, N3227-N3227 W09945-W09945
Abitibi Belt, N4600-N5030 W07350-W08500
Abitibi County Quebec, N4800-N4900 W07445-W07930
Abkhazia Georgian Republic, N4220-N4320 E04215-E04000
Abruzzi Italy, N4140-N4255 E01448-E01300
Absaroka Range, N4330-N4500 W10900-W11015
Abu Dhabi, N2240-N2500 E05600-E05130
Abukuma Mountains, N3640-N3750 E14105-E14015
Acadia Parish Louisiana, N3003-N3029 W09207-W09238
Acceglio Italy, N4428-N4428 E00659-E00659
Accomack County Virginia, N3725-N3803 W07515-W07557
Accra Ghana, N0533-N0533 W00015-W00015
Aconcagua, S3239-S3239 W07000-W07000
Acqui Italy, N4410-N4441 E00828-E00828
Acre Brazil, S1100-S0700 W06630-W07400
Ada County Idaho, N4307-N4347 W11558-W11633
Adair County Iowa, N4110-N4130 W09415-W09445
Adair County Kentucky, N3655-N3718 W08503-W08531
Adair County Missouri, N4005-N4020 W09220-W09250
Adair County Oklahoma, N3537-N3610 W09427-W09447
Adak Island, N5150-N5150 W17640-W17640
Adamawa, N0700-N0900 E01600-E01100
Adamello Massif, N4610-N4610 E01030-E01030
Adams County Colorado, N3945-N4000 W10338-W10504
Adams County Idaho, N4425-N4518 W11608-W11653
Adams County Illinois, N3945-N4012 W09055-W09135
Adams County Indiana, N4035-N4055 W08448-W08505
Adams County Iowa, N4053-N4110 W09428-W09456
Adams County Mississippi, N3110-N3145 W09112-W09140
Adams County Nebraska, N4020-N4042 W09822-W09842
